Date,t,Quelle_temp,Time_temp,eco2,Quelle_co2,Time_co2
2020-12-28,42.395,"Stadt Konstanz, Abt. Datenmanagement und Statistik",13:00:23,2211.95,"Stadt Konstanz, Abt. Datenmanagement und Statistik",01:00:22
2020-12-27,26.725,"Stadt Konstanz, Abt. Datenmanagement und Statistik",11:00:12,1784.45,"Stadt Konstanz, Abt. Datenmanagement und Statistik",17:00:03
2020-12-27,26.725,"Stadt Konstanz, Abt. Datenmanagement und Statistik",11:00:12,1719.2,"Stadt Konstanz, Abt. Datenmanagement und Statistik",11:00:12
2020-12-27,26.725,"Stadt Konstanz, Abt. Datenmanagement und Statistik",11:00:12,1797.35,"Stadt Konstanz, Abt. Datenmanagement und Statistik",10:00:07
2020-12-27,26.725,"Stadt Konstanz, Abt. Datenmanagement und Statistik",11:00:12,1598.35,"Stadt Konstanz, Abt. Datenmanagement und Statistik",00:00:25
2020-12-25,4.781,"Stadt Konstanz, Abt. Datenmanagement und Statistik",03:00:25,1544.35,"Stadt Konstanz, Abt. Datenmanagement und Statistik",19:00:46
2020-12-25,4.781,"Stadt Konstanz, Abt. Datenmanagement und Statistik",03:00:25,1811.1,"Stadt Konstanz, Abt. Datenmanagement und Statistik",11:00:39
2020-12-25,4.781,"Stadt Konstanz, Abt. Datenmanagement und Statistik",03:00:25,1698.8,"Stadt Konstanz, Abt. Datenmanagement und Statistik",07:00:18
2020-12-25,4.781,"Stadt Konstanz, Abt. Datenmanagement und Statistik",03:00:25,1302.2,"Stadt Konstanz, Abt. Datenmanagement und Statistik",03:05:25
2020-12-24,76.975,"Stadt Konstanz, Abt. Datenmanagement und Statistik",08:00:27,1547.85,"Stadt Konstanz, Abt. Datenmanagement und Statistik",23:00:18
2020-12-24,76.975,"Stadt Konstanz, Abt. Datenmanagement und Statistik",08:00:27,1679.5,"Stadt Konstanz, Abt. Datenmanagement und Statistik",20:00:29
2020-12-24,76.975,"Stadt Konstanz, Abt. Datenmanagement und Statistik",08:00:27,1602.35,"Stadt Konstanz, Abt. Datenmanagement und Statistik",17:00:23
2020-12-24,76.975,"Stadt Konstanz, Abt. Datenmanagement und Statistik",08:00:27,1593.75,"Stadt Konstanz, Abt. Datenmanagement und Statistik",14:00:27
2020-12-24,76.975,"Stadt Konstanz, Abt. Datenmanagement und Statistik",08:00:27,1520.2,"Stadt Konstanz, Abt. Datenmanagement und Statistik",06:00:12
2020-12-24,76.975,"Stadt Konstanz, Abt. Datenmanagement und Statistik",08:00:27,1935.9,"Stadt Konstanz, Abt. Datenmanagement und Statistik",01:00:10
2020-12-24,78.655,"Stadt Konstanz, Abt. Datenmanagement und Statistik",07:00:22,1547.85,"Stadt Konstanz, Abt. Datenmanagement und Statistik",23:00:18
2020-12-24,78.655,"Stadt Konstanz, Abt. Datenmanagement und Statistik",07:00:22,1679.5,"Stadt Konstanz, Abt. Datenmanagement und Statistik",20:00:29
2020-12-24,78.655,"Stadt Konstanz, Abt. Datenmanagement und Statistik",07:00:22,1602.35,"Stadt Konstanz, Abt. Datenmanagement und Statistik",17:00:23
2020-12-24,78.655,"Stadt Konstanz, Abt. Datenmanagement und Statistik",07:00:22,1593.75,"Stadt Konstanz, Abt. Datenmanagement und Statistik",14:00:27
2020-12-24,78.655,"Stadt Konstanz, Abt. Datenmanagement und Statistik",07:00:22,1520.2,"Stadt Konstanz, Abt. Datenmanagement und Statistik",06:00:12
2020-12-24,78.655,"Stadt Konstanz, Abt. Datenmanagement und Statistik",07:00:22,1935.9,"Stadt Konstanz, Abt. Datenmanagement und Statistik",01:00:10
2020-12-23,10.768,"Stadt Konstanz, Abt. Datenmanagement und Statistik",22:00:20,2561.8,"Stadt Konstanz, Abt. Datenmanagement und Statistik",22:00:20
2020-12-23,10.768,"Stadt Konstanz, Abt. Datenmanagement und Statistik",22:00:20,3240.4,"Stadt Konstanz, Abt. Datenmanagement und Statistik",11:00:08
2020-12-23,10.768,"Stadt Konstanz, Abt. Datenmanagement und Statistik",22:00:20,3188.85,"Stadt Konstanz, Abt. Datenmanagement und Statistik",10:00:01
2020-12-23,10.768,"Stadt Konstanz, Abt. Datenmanagement und Statistik",22:00:20,3063.25,"Stadt Konstanz, Abt. Datenmanagement und Statistik",08:00:45
2020-12-23,10.768,"Stadt Konstanz, Abt. Datenmanagement und Statistik",22:00:20,3120.9,"Stadt Konstanz, Abt. Datenmanagement und Statistik",07:00:33
2020-12-23,10.768,"Stadt Konstanz, Abt. Datenmanagement und Statistik",22:00:20,3094.9,"Stadt Konstanz, Abt. Datenmanagement und Statistik",01:00:02
2020-12-23,10.768,"Stadt Konstanz, Abt. Datenmanagement und Statistik",22:00:20,3130.1,"Stadt Konstanz, Abt. Datenmanagement und Statistik",00:00:01
2020-12-23,96.645,"Stadt Konstanz, Abt. Datenmanagement und Statistik",06:00:29,2561.8,"Stadt Konstanz, Abt. Datenmanagement und Statistik",22:00:20
2020-12-23,96.645,"Stadt Konstanz, Abt. Datenmanagement und Statistik",06:00:29,3240.4,"Stadt Konstanz, Abt. Datenmanagement und Statistik",11:00:08
2020-12-23,96.645,"Stadt Konstanz, Abt. Datenmanagement und Statistik",06:00:29,3188.85,"Stadt Konstanz, Abt. Datenmanagement und Statistik",10:00:01
2020-12-23,96.645,"Stadt Konstanz, Abt. Datenmanagement und Statistik",06:00:29,3063.25,"Stadt Konstanz, Abt. Datenmanagement und Statistik",08:00:45
2020-12-23,96.645,"Stadt Konstanz, Abt. Datenmanagement und Statistik",06:00:29,3120.9,"Stadt Konstanz, Abt. Datenmanagement und Statistik",07:00:33
2020-12-23,96.645,"Stadt Konstanz, Abt. Datenmanagement und Statistik",06:00:29,3094.9,"Stadt Konstanz, Abt. Datenmanagement und Statistik",01:00:02
2020-12-23,96.645,"Stadt Konstanz, Abt. Datenmanagement und Statistik",06:00:29,3130.1,"Stadt Konstanz, Abt. Datenmanagement und Statistik",00:00:01
2020-12-22,124.725,"Stadt Konstanz, Abt. Datenmanagement und Statistik",18:00:41,2796.2,"Stadt Konstanz, Abt. Datenmanagement und Statistik",20:00:17
2020-12-22,124.725,"Stadt Konstanz, Abt. Datenmanagement und Statistik",18:00:41,2186.65,"Stadt Konstanz, Abt. Datenmanagement und Statistik",11:00:10
2020-12-22,13.981,"Stadt Konstanz, Abt. Datenmanagement und Statistik",11:00:10,2796.2,"Stadt Konstanz, Abt. Datenmanagement und Statistik",20:00:17
2020-12-22,13.981,"Stadt Konstanz, Abt. Datenmanagement und Statistik",11:00:10,2186.65,"Stadt Konstanz, Abt. Datenmanagement und Statistik",11:00:10
2020-12-12,5.598,"Stadt Konstanz, Abt. Datenmanagement und Statistik",09:00:19,2493.0,"Stadt Konstanz, Abt. Datenmanagement und Statistik",13:00:47
2020-12-12,5.598,"Stadt Konstanz, Abt. Datenmanagement und Statistik",09:00:19,2593.65,"Stadt Konstanz, Abt. Datenmanagement und Statistik",09:00:19
2020-12-08,4.419,"Stadt Konstanz, Abt. Datenmanagement und Statistik",14:00:23,3005.2,"Stadt Konstanz, Abt. Datenmanagement und Statistik",07:00:17
2020-12-03,1.857,"Stadt Konstanz, Abt. Datenmanagement und Statistik",00:00:31,1927.4,"Stadt Konstanz, Abt. Datenmanagement und Statistik",00:00:31
2020-11-26,4.045,"Stadt Konstanz, Abt. Datenmanagement und Statistik",03:00:17,2142.9,"Stadt Konstanz, Abt. Datenmanagement und Statistik",22:00:21
2020-11-26,4.045,"Stadt Konstanz, Abt. Datenmanagement und Statistik",03:00:17,2374.0,"Stadt Konstanz, Abt. Datenmanagement und Statistik",19:00:22
2020-11-24,4.206,"Stadt Konstanz, Abt. Datenmanagement und Statistik",00:00:06,2546.9,"Stadt Konstanz, Abt. Datenmanagement und Statistik",17:00:39
2020-11-24,4.206,"Stadt Konstanz, Abt. Datenmanagement und Statistik",00:00:06,2418.85,"Stadt Konstanz, Abt. Datenmanagement und Statistik",08:00:39
